

 Enter MINRES-QLP.      Solution of Hermitian   Ax = b
 n        =    230      checkA   =   T          precon   =   F
 itnlim   =    920      rtol     =   2.22E-16   shift    =   0.00000000000000E+00
 maxxnorm =   1.00E+07  Acondlim =   1.00E+15   trancond =   1.00E+07


    iter         x(1)                           xnorm     rnorm     Arnorm   Compatible   LS      norm(A)   cond(A)
     900   5.9657658820E-02  -4.5330228350E-01  5.21E+00  1.79E-05  4.41E-05  3.69E-09  2.63E-03  9.33E+02  4.18E+05  
     909   5.9204857493E-02  -4.5322619074E-01  5.21E+00  1.69E-05  1.10E-05  3.48E-09  6.94E-04  9.33E+02  4.03E+05  

     910   5.9137723403E-02  -4.5321492354E-01  5.21E+00  1.68E-05  7.79E-06  3.45E-09  4.97E-04  9.33E+02  4.18E+05  
     911   5.9103275310E-02  -4.5320912997E-01  5.21E+00  1.67E-05  8.39E-05  3.44E-09  5.38E-03  9.33E+02  4.03E+05  
     912   5.9064672835E-02  -4.5320263486E-01  5.21E+00  1.66E-05  1.56E-04  3.42E-09  1.00E-02  9.33E+02  4.18E+05  
     913   5.9063229305E-02  -4.5320239162E-01  5.21E+00  1.66E-05  1.40E-04  3.42E-09  9.02E-03  9.33E+02  4.03E+05  
     914   5.9052285308E-02  -4.5320054440E-01  5.21E+00  1.66E-05  3.25E-04  3.42E-09  2.09E-02  9.33E+02  4.18E+05  
     915   5.9040990914E-02  -4.5319863731E-01  5.21E+00  1.66E-05  1.09E-05  3.41E-09  7.06E-04  9.33E+02  4.03E+05  
     916   5.9032680220E-02  -4.5319721547E-01  5.21E+00  1.66E-05  6.12E-05  3.41E-09  3.95E-03  9.33E+02  4.18E+05  
     917   5.9026574111E-02  -4.5319616814E-01  5.21E+00  1.66E-05  8.68E-05  3.40E-09  5.61E-03  9.33E+02  4.03E+05  
     918   5.8812391007E-02  -4.5315938264E-01  5.21E+00  1.61E-05  9.29E-06  3.31E-09  6.18E-04  9.33E+02  4.18E+05  
     919   5.8767378275E-02  -4.5315170038E-01  5.21E+00  1.60E-05  2.73E-05  3.29E-09  1.82E-03  9.33E+02  4.03E+05  

     920   5.8723935106E-02  -4.5314431198E-01  5.21E+00  1.59E-05  5.97E-05  3.27E-09  4.02E-03  9.33E+02  4.18E+05  

 Exit  MINRES-QLP.       istop =  8              itn    =     920
 Exit  MINRES-QLP.       Anorm =  9.3313E+02     Acond  =  4.1754E+05
 Exit  MINRES-QLP.       rnorm =  1.5914E-05     Arnorm =  5.9672E-05
 Exit  MINRES-QLP.       xnorm =  5.2121E+00
 Exit  MINRES-QLP.       The iteration limit was reached.                                 
